wheel,direction,duty_pm,run,tps,vbat_v,load
left,fwd,50,1,211.76,13.21,no_load
left,fwd,50,2,235.29,13.21,no_load
left,fwd,50,3,220.59,13.21,no_load
left,fwd,100,1,672.55,13.21,no_load
left,fwd,100,2,700.98,13.21,no_load
left,fwd,100,3,701.96,13.21,no_load
left,fwd,150,1,1089.22,13.21,no_load
left,fwd,150,2,1122.55,13.21,no_load
left,fwd,150,3,1126.47,13.21,no_load
left,fwd,200,1,1510.78,13.21,no_load
left,fwd,200,2,1544.12,13.21,no_load
left,fwd,200,3,1546.08,13.21,no_load
left,fwd,250,1,1920.59,13.21,no_load
left,fwd,250,2,1961.76,13.21,no_load
left,fwd,250,3,1966.67,13.21,no_load
left,fwd,300,1,2334.31,13.21,no_load
left,fwd,300,2,2374.51,13.21,no_load
left,fwd,300,3,2379.41,13.21,no_load
left,fwd,350,1,2741.18,13.21,no_load
left,fwd,350,2,2786.27,13.21,no_load
left,fwd,350,3,2794.12,13.21,no_load
left,fwd,400,1,3152.94,13.21,no_load
left,fwd,400,2,3198.04,13.21,no_load
left,fwd,400,3,3203.92,13.21,no_load
left,fwd,450,1,3572.55,13.21,no_load
left,fwd,450,2,3610.78,13.21,no_load
left,fwd,450,3,3618.63,13.21,no_load
left,fwd,500,1,3994.12,13.21,no_load
left,fwd,500,2,4030.39,13.21,no_load
left,fwd,500,3,4040.20,13.21,no_load
left,fwd,550,1,4408.82,13.21,no_load
left,fwd,550,2,4443.14,13.21,no_load
left,fwd,550,3,4450.98,13.21,no_load
left,fwd,600,1,4823.53,13.21,no_load
left,fwd,600,2,4863.73,13.21,no_load
left,fwd,600,3,4881.37,13.21,no_load
left,fwd,650,1,5242.16,13.21,no_load
left,fwd,650,2,5301.96,13.21,no_load
left,fwd,650,3,5327.45,13.21,no_load
left,fwd,700,1,5698.04,13.21,no_load
left,fwd,700,2,5724.51,13.21,no_load
left,fwd,700,3,5726.47,13.21,no_load
left,fwd,750,1,6058.82,13.21,no_load
left,fwd,750,2,6101.96,13.21,no_load
left,fwd,750,3,6117.65,13.21,no_load
left,fwd,800,1,6406.86,13.21,no_load
left,fwd,800,2,6476.47,13.21,no_load
left,fwd,800,3,6483.33,13.21,no_load
left,fwd,850,1,6726.47,13.21,no_load
left,fwd,850,2,6759.80,13.21,no_load
left,fwd,850,3,6777.45,13.21,no_load
left,fwd,900,1,7229.41,13.21,no_load
left,fwd,900,2,7234.31,13.21,no_load
left,fwd,900,3,7228.43,13.21,no_load
left,fwd,950,1,7703.92,13.21,no_load
left,fwd,950,2,7731.37,13.21,no_load
left,fwd,950,3,7769.61,13.21,no_load
left,fwd,1000,1,7968.63,13.21,no_load
left,fwd,1000,2,8010.78,13.21,no_load
left,fwd,1000,3,7967.65,13.21,no_load
left,rev,50,1,0.00,13.21,no_load
left,rev,50,2,242.16,13.21,no_load
left,rev,50,3,193.14,13.21,no_load
left,rev,100,1,700.98,13.21,no_load
left,rev,100,2,731.37,13.21,no_load
left,rev,100,3,729.41,13.21,no_load
left,rev,150,1,1152.94,13.21,no_load
left,rev,150,2,1165.69,13.21,no_load
left,rev,150,3,1154.90,13.21,no_load
left,rev,200,1,1573.53,13.21,no_load
left,rev,200,2,1603.92,13.21,no_load
left,rev,200,3,1592.16,13.21,no_load
left,rev,250,1,2000.00,13.21,no_load
left,rev,250,2,2029.41,13.21,no_load
left,rev,250,3,2025.49,13.21,no_load
left,rev,300,1,2420.59,13.21,no_load
left,rev,300,2,2472.55,13.21,no_load
left,rev,300,3,2464.71,13.21,no_load
left,rev,350,1,2848.04,13.21,no_load
left,rev,350,2,2906.86,13.21,no_load
left,rev,350,3,2894.12,13.21,no_load
left,rev,400,1,3261.76,13.21,no_load
left,rev,400,2,3326.47,13.21,no_load
left,rev,400,3,3314.71,13.21,no_load
left,rev,450,1,3686.27,13.21,no_load
left,rev,450,2,3765.69,13.21,no_load
left,rev,450,3,3745.10,13.21,no_load
left,rev,500,1,4096.08,13.21,no_load
left,rev,500,2,4197.06,13.21,no_load
left,rev,500,3,4178.43,13.21,no_load
left,rev,550,1,4531.37,13.21,no_load
left,rev,550,2,4623.53,13.21,no_load
left,rev,550,3,4600.00,13.21,no_load
left,rev,600,1,4949.02,13.21,no_load
left,rev,600,2,5065.69,13.21,no_load
left,rev,600,3,5040.20,13.21,no_load
left,rev,650,1,5384.31,13.21,no_load
left,rev,650,2,5551.96,13.21,no_load
left,rev,650,3,5510.78,13.21,no_load
left,rev,700,1,5871.57,13.21,no_load
left,rev,700,2,6015.69,13.21,no_load
left,rev,700,3,5996.08,13.21,no_load
left,rev,750,1,6200.00,13.21,no_load
left,rev,750,2,6221.57,13.21,no_load
left,rev,750,3,6207.84,13.21,no_load
left,rev,800,1,6500.98,13.21,no_load
left,rev,800,2,6590.20,13.21,no_load
left,rev,800,3,6576.47,13.21,no_load
left,rev,850,1,6705.88,13.21,no_load
left,rev,850,2,6735.29,13.21,no_load
left,rev,850,3,6800.98,13.21,no_load
left,rev,900,1,6958.82,13.21,no_load
left,rev,900,2,7052.94,13.21,no_load
left,rev,900,3,7184.31,13.21,no_load
left,rev,950,1,7493.14,13.21,no_load
left,rev,950,2,7690.20,13.21,no_load
left,rev,950,3,7639.22,13.21,no_load
left,rev,1000,1,7766.67,13.21,no_load
left,rev,1000,2,7899.02,13.21,no_load
left,rev,1000,3,7895.10,13.21,no_load
right,fwd,50,1,233.33,13.21,no_load
right,fwd,50,2,241.18,13.21,no_load
right,fwd,50,3,225.49,13.21,no_load
right,fwd,100,1,685.29,13.21,no_load
right,fwd,100,2,701.96,13.21,no_load
right,fwd,100,3,705.88,13.21,no_load
right,fwd,150,1,1110.78,13.21,no_load
right,fwd,150,2,1127.45,13.21,no_load
right,fwd,150,3,1132.35,13.21,no_load
right,fwd,200,1,1531.37,13.21,no_load
right,fwd,200,2,1557.84,13.21,no_load
right,fwd,200,3,1558.82,13.21,no_load
right,fwd,250,1,1947.06,13.21,no_load
right,fwd,250,2,1974.51,13.21,no_load
right,fwd,250,3,1984.31,13.21,no_load
right,fwd,300,1,2362.75,13.21,no_load
right,fwd,300,2,2395.10,13.21,no_load
right,fwd,300,3,2407.84,13.21,no_load
right,fwd,350,1,2782.35,13.21,no_load
right,fwd,350,2,2823.53,13.21,no_load
right,fwd,350,3,2839.22,13.21,no_load
right,fwd,400,1,3216.67,13.21,no_load
right,fwd,400,2,3251.96,13.21,no_load
right,fwd,400,3,3253.92,13.21,no_load
right,fwd,450,1,3623.53,13.21,no_load
right,fwd,450,2,3662.75,13.21,no_load
right,fwd,450,3,3677.45,13.21,no_load
right,fwd,500,1,4044.12,13.21,no_load
right,fwd,500,2,4081.37,13.21,no_load
right,fwd,500,3,4090.20,13.21,no_load
right,fwd,550,1,4482.35,13.21,no_load
right,fwd,550,2,4535.29,13.21,no_load
right,fwd,550,3,4545.10,13.21,no_load
right,fwd,600,1,4945.10,13.21,no_load
right,fwd,600,2,4973.53,13.21,no_load
right,fwd,600,3,4953.92,13.21,no_load
right,fwd,650,1,5367.65,13.21,no_load
right,fwd,650,2,5422.55,13.21,no_load
right,fwd,650,3,5395.10,13.21,no_load
right,fwd,700,1,5875.49,13.21,no_load
right,fwd,700,2,5943.14,13.21,no_load
right,fwd,700,3,5901.96,13.21,no_load
right,fwd,750,1,6325.49,13.21,no_load
right,fwd,750,2,6259.80,13.21,no_load
right,fwd,750,3,6191.18,13.21,no_load
right,fwd,800,1,6385.29,13.21,no_load
right,fwd,800,2,6337.25,13.21,no_load
right,fwd,800,3,6274.51,13.21,no_load
right,fwd,850,1,6491.18,13.21,no_load
right,fwd,850,2,6527.45,13.21,no_load
right,fwd,850,3,6461.76,13.21,no_load
right,fwd,900,1,6891.18,13.21,no_load
right,fwd,900,2,6815.69,13.21,no_load
right,fwd,900,3,6737.25,13.21,no_load
right,fwd,950,1,7258.82,13.21,no_load
right,fwd,950,2,7109.80,13.21,no_load
right,fwd,950,3,7125.49,13.21,no_load
right,fwd,1000,1,7588.24,13.21,no_load
right,fwd,1000,2,7668.63,13.21,no_load
right,fwd,1000,3,7518.63,13.21,no_load
right,rev,50,1,200.00,13.21,no_load
right,rev,50,2,178.43,13.21,no_load
right,rev,50,3,212.75,13.21,no_load
right,rev,100,1,651.96,13.21,no_load
right,rev,100,2,660.78,13.21,no_load
right,rev,100,3,670.59,13.21,no_load
right,rev,150,1,1065.69,13.21,no_load
right,rev,150,2,1063.73,13.21,no_load
right,rev,150,3,1083.33,13.21,no_load
right,rev,200,1,1474.51,13.21,no_load
right,rev,200,2,1470.59,13.21,no_load
right,rev,200,3,1489.22,13.21,no_load
right,rev,250,1,1879.41,13.21,no_load
right,rev,250,2,1876.47,13.21,no_load
right,rev,250,3,1898.04,13.21,no_load
right,rev,300,1,2289.22,13.21,no_load
right,rev,300,2,2291.18,13.21,no_load
right,rev,300,3,2315.69,13.21,no_load
right,rev,350,1,2696.08,13.21,no_load
right,rev,350,2,2700.98,13.21,no_load
right,rev,350,3,2725.49,13.21,no_load
right,rev,400,1,3102.94,13.21,no_load
right,rev,400,2,3113.73,13.21,no_load
right,rev,400,3,3137.25,13.21,no_load
right,rev,450,1,3523.53,13.21,no_load
right,rev,450,2,3537.25,13.21,no_load
right,rev,450,3,3553.92,13.21,no_load
right,rev,500,1,3923.53,13.21,no_load
right,rev,500,2,3950.00,13.21,no_load
right,rev,500,3,3975.49,13.21,no_load
right,rev,550,1,4347.06,13.21,no_load
right,rev,550,2,4379.41,13.21,no_load
right,rev,550,3,4400.98,13.21,no_load
right,rev,600,1,4736.27,13.21,no_load
right,rev,600,2,4765.69,13.21,no_load
right,rev,600,3,4785.29,13.21,no_load
right,rev,650,1,5157.84,13.21,no_load
right,rev,650,2,5192.16,13.21,no_load
right,rev,650,3,5213.73,13.21,no_load
right,rev,700,1,5575.49,13.21,no_load
right,rev,700,2,5614.71,13.21,no_load
right,rev,700,3,5624.51,13.21,no_load
right,rev,750,1,5944.12,13.21,no_load
right,rev,750,2,6023.53,13.21,no_load
right,rev,750,3,6025.49,13.21,no_load
right,rev,800,1,6367.65,13.21,no_load
right,rev,800,2,6406.86,13.21,no_load
right,rev,800,3,6426.47,13.21,no_load
right,rev,850,1,6769.61,13.21,no_load
right,rev,850,2,6810.78,13.21,no_load
right,rev,850,3,6823.53,13.21,no_load
right,rev,900,1,7163.73,13.21,no_load
right,rev,900,2,7198.04,13.21,no_load
right,rev,900,3,7213.73,13.21,no_load
right,rev,950,1,7715.69,13.21,no_load
right,rev,950,2,7744.12,13.21,no_load
right,rev,950,3,7773.53,13.21,no_load
right,rev,1000,1,8017.65,13.21,no_load
right,rev,1000,2,8045.10,13.21,no_load
right,rev,1000,3,8096.08,13.21,no_load
